রপ্তানি	﻿রপ্তান
দ্রব্য	দ্রব্
তাজা	তাজা
ও	ও
শুকনা	শুকন
ফল	ফল
আফিম	আফিম
পশুচর্ম	পশুচর্
ও	ও
পশম	পশম
এবং	এবং
কার্পেট	কার্পে

রাজা	রাজা
মহানন্দ	মহানন্দ
রাজধানীতে	রাজধান
তৈরি	তৈরি
করেছিল	করা
শিব	শিব
মন্দির	মন্দির
ও	ও
বৈষ্ণবদের	বৈষ্ণব
মন্দির	মন্দির

প্রতিটি	প্রতি
বৌদ্ধ	বৌদ্
সন্ন্যাসী	সন্ন্যাসী
সন্ন্যাসিনী	সন্ন্যাসিন
বা	বা
গৃহস্থ	গৃহস্থ
যেই	
হোক	হওয়া
না	না
কেন	কেন
প্রাতে	প্ুমি
দ্বিপ্রহরে	দ্বিপ্র
অপরাহ্নে	অপরাহ্ন
ও	ও
সন্ধ্যায়	সন্ধ্যা
এই	এই
পবিত্র	পবিত্র
ত্রয়ীকে	ত্রয়
প্রণাম	প্রণাম
ও	ও
ধ্যান	ধ্যান
করে	করা
তাকে	তা
জপ	জপ
করে	করা
এই	এই
ব'লে	ব'ল
আমি	আমি
বুদ্ধের	বুদ্ধে
শরণাগত	শরণাগ
হলাম	হওয়া

বদাওনী	বদাওন
যে	যে
খুব	খুব
খুশি	খুশি
মনে	মন
অনুবাদের	অনুবা
কাজে	কাজ
আত্মনিয়োগ	আত্মনিয়ো
করেছিলেন	করা
তা	তা
নয়	না
কারণ	কারণ
মহাভারতের	মহাভার
ওই	ও
অংশের	অংশে
বিষয়বস্তুর	বিষয়বস্তু
সঙ্গে	সঙ্গ
তাঁর	তিনি
গোঁড়া	গোঁড়
ধর্মবিশ্বাসের	ধর্মবিশ্বা
আদপে	আদপ
কোন	কোন
মিল	মিল
না	না
থাকায়	থাকা
তাঁর	তিনি
কোনরকম	কোনরক
মানসিক	মানসি
তৃপ্তি	তৃপ্ত
হত	হওয়া
না	না
সমস্ত	সমস্ত
পরিশ্রম	পরিশ্র
অর্থহীন	অর্থহীন
মনে	মন
হত	হওয়া

কয়েক	কা
বিঘা	বিঘ
ধানী	ধান
জমিও	জমি
আছে	আছে

মাটি	মাটি
থেকে	থেকে
বড়জোর	বড়জো
চার	চার
পাঁচ	পাঁচ
ফুট	ফুট
উঁচু	উঁচু
হবে	হওয়া

তাদের	তািনি
চা	চা
ওমলেটের	ওমলে
জন্য	জন্য
সিনেমার	সিনে
টিকিটের	টিকি
জন্য	জন্য
ট্যাক্সি	ট্যাক্স
ভাড়ার	ভাড়া
জন্য	জন্য
কেবলই	কেবল
ধার	ধা
দিতে	দেওয়া
হয়	হয়
যেহেতু	যে
তাদের	তুমি
টিউশনি	টিউশনি
করার	করা
সময়	সময়
থাকে	থাকা
না	না

নকল	নক
ওষুধের	ওষু
কেরামতি	কেরামত
সত্ত্বেও	সত্ত্ব
যার	যা
প্রথম	প্রথম
সন্তান	সন্তান
ভূমিষ্ঠ	ভূমিষ্ঠ
হল	হওয়া
এ	এ
অবস্থায়	অবস্থা
সেই	সেই
তো	তো
মৌখিক	মৌখি
হিতৈষীকে	হিতৈষ
তেড়ে	ত
খেতে	া
আসবে	আসব

অন্ধকার	অন্ধকার
গাঢ়তর	গাঢ়ত
হয়ে	হয়ে
ওঠে	ওঠা

তার	তার
ওপরে	ওপর
বেকুবচাঁদের	বেকুবচাঁ
এই	এই
কান্নার	কান্না
কালোয়াতি	কালোয়

বিউটিফুল	বিউটিফু

এখন	এখন
সমস্ত	সমস্ত
পরিস্থিতির	পরিস্থিতি
পর্য্যালোচনা	পর্য্যালোচন
একান্ত	একান্ত
প্রয়োজন	প্রয়োজন

সে	তিনি
কী	কী

মলয়ের	মল
কাছে	কাছ
সব	সব
শুনে	নেওনে
তার	তার
স্ত্রী	স্ত্রী
বলল	বলা
তোমার	তুমি
নাম	নাম
কি	কি
মা	মা

আলোচনায়	আলোচনা
বসে	বসা
সমস্যা	সমস্যা
মিটিয়ে	মিট
নেবার	নেবা
আপিল	আপিল
করল	কর
দু'দিন	দু'দি
পর	পর

মন্দিরের	মন্দির
পাশে	পাশ
বয়ে	বয়
চলেছে	চলা
মন্দাকিনীর	মন্দাকিনী
হিমশীতল	হিমশীত
ধারা	ধারা

আবেগ	আবে
আপ্লুত	আপ্লু
মনে	মন
তিনি	তিনি
নায়িকার	নায়িকা
মুখে	মুখ
চুম্বন	চুম্বন
না	না
করে	করা
তাঁর	তিনি
জামার	জামা
প্রান্ত	প্রান্ত
ধরে	ধরা
মুখের	মুখ
কাছে	কাছ
টেনে	টা
নিলেন	নি

শুক্রের	শুক্র
এরকম	এরক
সংযোগ	সংযো
ঘটে	ঘটা
মাস	মাস
পর	পর
পর	পর
আর	আর
তাই	তা
