রপ্তানি	﻿রপ্তানি
দ্রব্য	দ্রব্য
তাজা	তাজা
ও	ও
শুকনা	শুকনা
ফল	ফল
আফিম	আফিম
পশুচর্ম	পশুচর্ম
ও	ও
পশম	পশম
এবং	এবং
কার্পেট	কার্পেট

রাজা	রাজা
মহানন্দ	মহানন্দ
রাজধানীতে	রাজধানীতে
তৈরি	তৈরি
করেছিল	করেছিল
শিব	শিব
মন্দির	মন্দির
ও	ও
বৈষ্ণবদের	বৈষ্ণবদের
মন্দির	মন্দির

প্রতিটি	প্রতিটি
বৌদ্ধ	বৌদ্ধ
সন্ন্যাসী	সন্ন্যাসী
সন্ন্যাসিনী	সন্ন্যাসিনী
বা	বা
গৃহস্থ	গৃহস্থ
যেই	যেই
হোক	হোক
না	না
কেন	কেন
প্রাতে	প্রাতে
দ্বিপ্রহরে	দ্বিপ্রহরে
অপরাহ্নে	অপরাহ্নে
ও	ও
সন্ধ্যায়	সন্ধ্যায়
এই	এই
পবিত্র	পবিত্র
ত্রয়ীকে	ত্রয়ীকে
প্রণাম	প্রণাম
ও	ও
ধ্যান	ধ্যান
করে	করে
তাকে	তাকে
জপ	জপ
করে	করে
এই	এই
ব'লে	ব'লে
আমি	আমি
বুদ্ধের	বুদ্ধের
শরণাগত	শরণাগত
হলাম	হলাম

বদাওনী	বদাওনী
যে	যে
খুব	খুব
খুশি	খুশি
মনে	মনে
অনুবাদের	অনুবাদের
কাজে	কাজে
আত্মনিয়োগ	আত্মনিয়োগ
করেছিলেন	করেছিলেন
তা	তা
নয়	নয়
কারণ	কারণ
মহাভারতের	মহাভারতের
ওই	ওই
অংশের	অংশের
বিষয়বস্তুর	বিষয়বস্তুর
সঙ্গে	সঙ্গে
তাঁর	তাঁর
গোঁড়া	গোঁড়া
ধর্মবিশ্বাসের	ধর্মবিশ্বাসের
আদপে	আদপে
কোন	কোন
মিল	মিল
না	না
থাকায়	থাকায়
তাঁর	তাঁর
কোনরকম	কোনরকম
মানসিক	মানসিক
তৃপ্তি	তৃপ্তি
হত	হত
না	না
সমস্ত	সমস্ত
পরিশ্রম	পরিশ্রম
অর্থহীন	অর্থহীন
মনে	মনে
হত	হত

কয়েক	কয়েক
বিঘা	বিঘা
ধানী	ধানী
জমিও	জমিও
আছে	আছে

মাটি	মাটি
থেকে	থেকে
বড়জোর	বড়জোর
চার	চার
পাঁচ	পাঁচ
ফুট	ফুট
উঁচু	উঁচু
হবে	হবে

তাদের	তাদের
চা	চা
ওমলেটের	ওমলেটের
জন্য	জন্য
সিনেমার	সিনেমার
টিকিটের	টিকিটের
জন্য	জন্য
ট্যাক্সি	ট্যাক্সি
ভাড়ার	ভাড়ার
জন্য	জন্য
কেবলই	কেবলই
ধার	ধার
দিতে	দিতে
হয়	হয়
যেহেতু	যেহেতু
তাদের	তাদের
টিউশনি	টিউশনি
করার	করার
সময়	সময়
থাকে	থাকে
না	না

নকল	নকল
ওষুধের	ওষুধের
কেরামতি	কেরামতি
সত্ত্বেও	সত্ত্বেও
যার	যার
প্রথম	প্রথম
সন্তান	সন্তান
ভূমিষ্ঠ	ভূমিষ্ঠ
হল	হল
এ	এ
অবস্থায়	অবস্থায়
সেই	সেই
তো	তো
মৌখিক	মৌখিক
হিতৈষীকে	হিতৈষীকে
তেড়ে	তেড়ে
খেতে	খেতে
আসবে	আসবে

অন্ধকার	অন্ধকার
গাঢ়তর	গাঢ়তর
হয়ে	হয়ে
ওঠে	ওঠে

তার	তার
ওপরে	ওপরে
বেকুবচাঁদের	বেকুবচাঁদের
এই	এই
কান্নার	কান্নার
কালোয়াতি	কালোয়াতি

বিউটিফুল	বিউটিফুল

এখন	এখন
সমস্ত	সমস্ত
পরিস্থিতির	পরিস্থিতির
পর্য্যালোচনা	পর্য্যালোচনা
একান্ত	একান্ত
প্রয়োজন	প্রয়োজন

সে	সে
কী	কী

মলয়ের	মলয়ের
কাছে	কাছে
সব	সব
শুনে	শুনে
তার	তার
স্ত্রী	স্ত্রী
বলল	বলল
তোমার	তোমার
নাম	নাম
কি	কি
মা	মা

আলোচনায়	আলোচনায়
বসে	বসে
সমস্যা	সমস্যা
মিটিয়ে	মিটিয়ে
নেবার	নেবার
আপিল	আপিল
করল	করল
দু'দিন	দু'দিন
পর	পর

মন্দিরের	মন্দিরের
পাশে	পাশে
বয়ে	বয়ে
চলেছে	চলেছে
মন্দাকিনীর	মন্দাকিনীর
হিমশীতল	হিমশীতল
ধারা	ধারা

আবেগ	আবেগ
আপ্লুত	আপ্লুত
মনে	মনে
তিনি	তিনি
নায়িকার	নায়িকার
মুখে	মুখে
চুম্বন	চুম্বন
না	না
করে	করে
তাঁর	তাঁর
জামার	জামার
প্রান্ত	প্রান্ত
ধরে	ধরে
মুখের	মুখের
কাছে	কাছে
টেনে	টেনে
নিলেন	নিলেন

শুক্রের	শুক্রের
এরকম	এরকম
সংযোগ	সংযোগ
ঘটে	ঘটে
মাস	মাস
পর	পর
পর	পর
আর	আর
তাই	তাই
সূর্য্য	সূর্য্য
চাঁদ	চাঁদ
বুধ	বুধ
ও	ও
শুক্রের	শুক্রের
একই	একই
রাশিতে	রাশিতে
